url,html_path,text_path,text_length,status,page_type
https://www.deakin.edu.au/course/bachelor-cyber-security-honours,data_ingestion/deakin/output/raw_html/course__bachelor-cyber-security-honours.html,data_ingestion/deakin/output/clean_text/course__bachelor-cyber-security-honours.txt,20186,saved,course
https://www.deakin.edu.au/course/bachelor-cyber-security-honours-international,data_ingestion/deakin/output/raw_html/course__bachelor-cyber-security-honours-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-cyber-security-honours-international.txt,20140,saved,course
https://www.deakin.edu.au/course/bachelor-data-science-erc-institute-international,data_ingestion/deakin/output/raw_html/course__bachelor-data-science-erc-institute-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-data-science-erc-institute-international.txt,15842,saved,course
https://www.deakin.edu.au/course/bachelor-data-science-honours-international,data_ingestion/deakin/output/raw_html/course__bachelor-data-science-honours-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-data-science-honours-international.txt,21263,saved,course
https://www.deakin.edu.au/course/bachelor-data-science-international,data_ingestion/deakin/output/raw_html/course__bachelor-data-science-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-data-science-international.txt,19503,saved,course
https://www.deakin.edu.au/course/bachelor-engineering-honours-international,data_ingestion/deakin/output/raw_html/course__bachelor-engineering-honours-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-engineering-honours-international.txt,25195,saved,course
https://www.deakin.edu.au/course/bachelor-environmental-science-and-sustainability-international,data_ingestion/deakin/output/raw_html/course__bachelor-environmental-science-and-sustainability-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-environmental-science-and-sustainability-international.txt,18615,saved,course
https://www.deakin.edu.au/course/bachelor-environmental-science-wildlife-and-conservation-biology-international,data_ingestion/deakin/output/raw_html/course__bachelor-environmental-science-wildlife-and-conservation-biology-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-environmental-science-wildlife-and-conservation-biology-international.txt,19954,saved,course
https://www.deakin.edu.au/course/bachelor-forensic-science-international,data_ingestion/deakin/output/raw_html/course__bachelor-forensic-science-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-forensic-science-international.txt,18517,saved,course
https://www.deakin.edu.au/course/bachelor-information-technology-international,data_ingestion/deakin/output/raw_html/course__bachelor-information-technology-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-information-technology-international.txt,20135,saved,course
https://www.deakin.edu.au/course/bachelor-marine-science-international,data_ingestion/deakin/output/raw_html/course__bachelor-marine-science-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-marine-science-international.txt,19565,saved,course
https://www.deakin.edu.au/course/bachelor-science-international,data_ingestion/deakin/output/raw_html/course__bachelor-science-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-science-international.txt,20089,saved,course
https://www.deakin.edu.au/course/bachelor-software-engineering-honours-international,data_ingestion/deakin/output/raw_html/course__bachelor-software-engineering-honours-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-software-engineering-honours-international.txt,22633,saved,course
https://www.deakin.edu.au/course/bachelor-zoology-and-animal-science-international,data_ingestion/deakin/output/raw_html/course__bachelor-zoology-and-animal-science-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-zoology-and-animal-science-international.txt,19023,saved,course
https://www.deakin.edu.au/course/master-applied-artificial-intelligence-professional-international,data_ingestion/deakin/output/raw_html/course__master-applied-artificial-intelligence-professional-international.html,data_ingestion/deakin/output/clean_text/course__master-applied-artificial-intelligence-professional-international.txt,18168,saved,course
https://www.deakin.edu.au/course/master-construction-management-professional-international,data_ingestion/deakin/output/raw_html/course__master-construction-management-professional-international.html,data_ingestion/deakin/output/clean_text/course__master-construction-management-professional-international.txt,16577,saved,course
https://www.deakin.edu.au/course/master-cyber-security-professional-international,data_ingestion/deakin/output/raw_html/course__master-cyber-security-professional-international.html,data_ingestion/deakin/output/clean_text/course__master-cyber-security-professional-international.txt,17615,saved,course
https://www.deakin.edu.au/course/master-data-science-global-international,data_ingestion/deakin/output/raw_html/course__master-data-science-global-international.html,data_ingestion/deakin/output/clean_text/course__master-data-science-global-international.txt,10137,saved,course
https://www.deakin.edu.au/course/master-data-science-professional-international,data_ingestion/deakin/output/raw_html/course__master-data-science-professional-international.html,data_ingestion/deakin/output/clean_text/course__master-data-science-professional-international.txt,17225,saved,course
https://www.deakin.edu.au/course/master-engineering-professional-international,data_ingestion/deakin/output/raw_html/course__master-engineering-professional-international.html,data_ingestion/deakin/output/clean_text/course__master-engineering-professional-international.txt,17572,saved,course
https://www.deakin.edu.au/course/master-information-technology-professional-international,data_ingestion/deakin/output/raw_html/course__master-information-technology-professional-international.html,data_ingestion/deakin/output/clean_text/course__master-information-technology-professional-international.txt,16117,saved,course
https://www.deakin.edu.au/course/master-sustainability-professional-international,data_ingestion/deakin/output/raw_html/course__master-sustainability-professional-international.html,data_ingestion/deakin/output/clean_text/course__master-sustainability-professional-international.txt,23588,saved,course
